         18571687 function calls (17837496 primitive calls) in 21.574 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.001    0.000    1.072    0.107 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/gridspec.py:264(subplots)
     5260    0.196    0.000    1.052    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/text.py:358(_get_layout)
       60    0.001    0.000    1.036    0.017 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/figure.py:658(add_subplot)
       60    0.003    0.000    1.034    0.017 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:569(__init__)
20140/18380    0.012    0.000    1.033    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:1212(_internal_update)
14550/13750    0.015    0.000    1.032    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:147(<lambda>)
     3320    0.013    0.000    1.023    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/ticker.py:2140(__call__)
14550/13750    0.024    0.000    1.019    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:1223(set)
     3870    0.049    0.000    1.010    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/text.py:915(get_window_extent)
    17400    0.150    0.000    0.992    0.000 /home/codespace/.local/lib/python3.10/site-packages/torch/serialization.py:626(_legacy_save)
     3320    0.013    0.000    0.899    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/ticker.py:2144(tick_values)
244285/7561    0.419    0.000    0.898    0.000 /home/codespace/.python/current/lib/python3.10/copy.py:128(deepcopy)
      600    0.008    0.000    0.896    0.001 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:412(__init__)
   160827    0.303    0.000    0.889    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
12247/7561    0.097    0.000    0.859    0.000 /home/codespace/.python/current/lib/python3.10/copy.py:227(_deepcopy_dict)
     2220    0.035    0.000    0.859    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:1497(get_minorticklocs)
537585/532685    0.252    0.000    0.834    0.000 {built-in method builtins.getattr}
     3320    0.125    0.000    0.817    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/ticker.py:2079(_raw_ticks)
      360    0.002    0.000    0.812    0.002 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:1108(set_clip_path)
  600/480    0.001    0.000    0.799    0.002 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:575(__get__)
      240    0.003    0.000    0.798    0.003 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:2599(_update_label_position)
       60    0.001    0.000    0.791    0.013 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/legend.py:751(draw)
     6000    0.200    0.000    0.766    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Simulator/RDDLSimulator.py:233(_process_actions)
      480    0.007    0.000    0.736    0.002 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:469(__init__)
