         18571687 function calls (17837496 primitive calls) in 21.574 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.001    0.000    0.019    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/legend.py:925(<listcomp>)
     3740    0.019    0.000    0.019    0.000 {method 'round' of 'numpy.ndarray' objects}
   120640    0.019    0.000    0.019    0.000 {method 'values' of 'dict' objects}
     2400    0.004    0.000    0.019    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1833(frozen)
     8820    0.008    0.000    0.018    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:75(_scale_dashes)
      600    0.003    0.000    0.018    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:937(get_xaxis_text1_transform)
       20    0.000    0.000    0.018    0.001 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:393(get_renderer)
       10    0.000    0.000    0.018    0.002 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/figure.py:2752(_get_renderer)
      600    0.001    0.000    0.018    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:437(_get_text2_transform)
    72816    0.018    0.000    0.018    0.000 {method 'endswith' of 'str' objects}
       10    0.000    0.000    0.018    0.002 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/_tight_layout.py:236(<listcomp>)
     3320    0.015    0.000    0.018    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/ticker.py:1954(ge)
       10    0.017    0.002    0.018    0.002 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:64(__init__)
    34800    0.018    0.000    0.018    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/torch_geometric/data/storage.py:110(__getitem__)
       80    0.000    0.000    0.018    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/legend_handler.py:351(create_artists)
   104400    0.018    0.000    0.018    0.000 /home/codespace/.local/lib/python3.10/site-packages/torch/__init__.py:533(is_storage)
    69379    0.017    0.000    0.018    0.000 {built-in method builtins.hasattr}
     1660    0.005    0.000    0.017    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2593(ptp)
     2480    0.004    0.000    0.017    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:934(set_clip_path)
       60    0.000    0.000    0.017    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/patches.py:3823(__init__)
      360    0.001    0.000    0.017    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1381(contains_branch)
       40    0.000    0.000    0.017    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/cm.py:438(to_rgba)
      950    0.001    0.000    0.017    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2759(get_transformed_points_and_affine)
      600    0.002    0.000    0.017    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:963(get_xaxis_text2_transform)
      240    0.001    0.000    0.017    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/ticker.py:2860(__init__)
    17400    0.009    0.000    0.017    0.000 /home/codespace/.local/lib/python3.10/site-packages/torch/_namedtensor_internals.py:10(check_serializing_named_tensor)
     3320    0.004    0.000    0.017    0.000 {method 'clip' of 'numpy.ndarray' objects}
     1310    0.003    0.000    0.017    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2746(_revalidate)
    96040    0.017    0.000    0.017    0.000 {built-in method builtins.iter}
     1580    0.006    0.000    0.017    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:3569(_validate_converted_limits)
    15300    0.008    0.000    0.017    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/text.py:1203(set_y)
     2400    0.004    0.000    0.016    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:435(__exit__)
     2040    0.002    0.000    0.016    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/text.py:1181(set_position)
      420    0.003    0.000    0.016    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:2398(_update_offset_text_position)
   123112    0.016    0.000    0.016    0.000 {method 'append' of 'list' objects}
     2680    0.006    0.000    0.016    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/patches.py:738(_convert_units)
       10    0.000    0.000    0.016    0.002 /home/codespace/.local/lib/python3.10/site-packages/PIL/Image.py:3037(fromarray)
      420    0.003    0.000    0.016    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1054(set)
     5340    0.008    0.000    0.016    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2030(translate)
     6550    0.009    0.000    0.016    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/text.py:997(set_horizontalalignment)
      240    0.001    0.000    0.016    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/ticker.py:1974(__init__)
       10    0.000    0.000    0.016    0.002 /home/codespace/.local/lib/python3.10/site-packages/PIL/Image.py:2980(frombuffer)
       10    0.000    0.000    0.016    0.002 /home/codespace/.local/lib/python3.10/site-packages/PIL/Image.py:2942(frombytes)
    12060    0.005    0.000    0.016    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:281(convert_yunits)
    17404    0.011    0.000    0.016    0.000 /home/codespace/.python/current/lib/python3.10/copyreg.py:109(_slotnames)
      740    0.016    0.000    0.016    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     1140    0.003    0.000    0.016    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:788(frozen)
    11600    0.016    0.000    0.016    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/torch_geometric/data/graph_store.py:110(__init__)
    22011    0.011    0.000    0.015    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Simulator/RDDLSimulator.py:387(_sample_constant)
      480    0.001    0.000    0.015    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:491(_get_text1_transform)
      240    0.002    0.000    0.015    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/ticker.py:2036(set_params)
     2280    0.005    0.000    0.015    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2668(__init__)
    40668    0.015    0.000    0.015    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      950    0.001    0.000    0.015    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/patches.py:347(set_facecolor)
      440    0.000    0.000    0.015    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:374(extents)
     2540    0.006    0.000    0.015    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2576(__init__)
     4160    0.006    0.000    0.015    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/text.py:1214(set_rotation)
     1010    0.002    0.000    0.015    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/patches.py:340(_set_facecolor)
       80    0.001    0.000    0.015    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/ma/core.py:1828(masked_where)
      480    0.002    0.000    0.015    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:1017(get_yaxis_text1_transform)
      120    0.000    0.000    0.015    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:1069(_update_transScale)
    17400    0.014    0.000    0.014    0.000 {built-in method torch._C._has_storage}
13880/13770    0.006    0.000    0.014    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2592(get_matrix)
     2340    0.014    0.000    0.014    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      730    0.001    0.000    0.014    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:1345(<genexpr>)
     3540    0.006    0.000    0.014    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:1065(set_drawstyle)
      180    0.001    0.000    0.014    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/legend.py:1141(_get_anchored_bbox)
      480    0.001    0.000    0.014    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:494(_get_text2_transform)
    50781    0.014    0.000    0.014    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Compiler/RDDLObjectsTracer.py:39(cached_objects_in_scope)
     2510    0.003    0.000    0.014    0.000 {method 'any' of 'numpy.ndarray' objects}
     5450    0.004    0.000    0.014    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:588(transpose)
       60    0.000    0.000    0.014    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:785(set_subplotspec)
     2560    0.003    0.000    0.014    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:1112(set_zorder)
      180    0.005    0.000    0.014    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/offsetbox.py:1086(_get_anchored_bbox)
     3540    0.006    0.000    0.014    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:1123(set_linewidth)
      480    0.002    0.000    0.013    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:1043(get_yaxis_text2_transform)
      256    0.001    0.000    0.013    0.000 /home/codespace/.python/current/lib/python3.10/re.py:288(_compile)
1100/1090    0.005    0.000    0.013    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:368(bounds)
     7440    0.005    0.000    0.013    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2411(transform_non_affine)
     3320    0.013    0.000    0.013    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/_methods.py:90(_clip)
     1240    0.003    0.000    0.013    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:1001(set_alpha)
    40610    0.013    0.000    0.013    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1929(get_matrix)
      240    0.004    0.000    0.013    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1719(set)
     7110    0.006    0.000    0.013    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:762(set_weight)
     6750    0.005    0.000    0.013    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:872(set_math_fontfamily)
    68878    0.013    0.000    0.013    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/gym/spaces/space.py:72(np_random)
     1660    0.006    0.000    0.013    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/_methods.py:218(_ptp)
    10261    0.008    0.000    0.013    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/numeric.py:1380(<listcomp>)
    27160    0.007    0.000    0.013    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:198(<lambda>)
        1    0.000    0.000    0.013    0.013 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Parser/parser.py:1084(parse)
        1    0.000    0.000    0.013    0.013 /home/codespace/.python/current/lib/python3.10/site-packages/ply/yacc.py:325(parse)
        1    0.004    0.004    0.013    0.013 /home/codespace/.python/current/lib/python3.10/site-packages/ply/yacc.py:1003(parseopt_notrack)
      340    0.000    0.000    0.013    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:239(__array__)
    17400    0.009    0.000    0.013    0.000 /home/codespace/.local/lib/python3.10/site-packages/torch/serialization.py:399(_is_path)
     1310    0.001    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:726(_get_transformed_path)
      540    0.003    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:4283(get_children)
        1    0.000    0.000    0.012    0.012 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Parser/parser.py:243(__init__)
        1    0.000    0.000    0.012    0.012 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Parser/parser.py:222(build)
        1    0.000    0.000    0.012    0.012 /home/codespace/.python/current/lib/python3.10/site-packages/ply/lex.py:862(lex)
    10261    0.010    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/lib/shape_base.py:600(<listcomp>)
      200    0.001    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/offsetbox.py:603(__init__)
       48    0.000    0.000    0.012    0.000 /home/codespace/.python/current/lib/python3.10/sre_compile.py:783(compile)
    40706    0.012    0.000    0.012    0.000 {built-in method builtins.abs}
     8510    0.010    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:350(width)
    64398    0.012    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2317(_any_dispatcher)
     3540    0.006    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:1407(set_dash_capstyle)
     4330    0.010    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/getlimits.py:484(__new__)
    55489    0.012    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2416(_all_dispatcher)
     4800    0.011    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:132(geterr)
      960    0.001    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2324(blended_transform_factory)
     1140    0.002    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:235(frozen)
      530    0.005    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/ma/core.py:2978(__array_finalize__)
     6750    0.005    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:788(set_stretch)
     1010    0.002    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:711(_transform_path)
       10    0.012    0.001    0.012    0.001 {method 'tobytes' of 'numpy.ndarray' objects}
      120    0.000    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:1181(_gen_axes_patch)
     3540    0.002    0.000    0.012    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:1211(set_markeredgecolor)
    17400    0.011    0.000    0.011    0.000 {method 'size' of 'torch._C._TensorBase' objects}
     4265    0.006    0.000    0.011    0.000 {built-in method builtins.min}
17401/17400    0.011    0.000    0.011    0.000 /home/codespace/.python/current/lib/python3.10/typing.py:306(inner)
     6380    0.004    0.000    0.011    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:1094(get_default_size)
13730/7760    0.009    0.000    0.011    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2398(<lambda>)
    27156    0.011    0.000    0.011    0.000 /home/codespace/.python/current/lib/python3.10/enum.py:678(__new__)
     3540    0.010    0.000    0.011    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:1100(set_gapcolor)
     2920    0.006    0.000    0.011    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/path.py:162(_fast_from_codes_and_verts)
     3320    0.002    0.000    0.011    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/fromnumeric.py:1881(nonzero)
       10    0.000    0.000    0.011    0.001 /home/codespace/.local/lib/python3.10/site-packages/PIL/Image.py:2903(new)
     5749    0.008    0.000    0.011    0.000 /home/codespace/.python/current/lib/python3.10/random.py:239(_randbelow_with_getrandbits)
    17400    0.011    0.000    0.011    0.000 {built-in method torch._C._log_api_usage_once}
     1210    0.004    0.000    0.011    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2731(__init__)
       40    0.000    0.000    0.011    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:2251(add_collection)
      120    0.000    0.000    0.011    0.000 /home/codespace/.python/current/lib/python3.10/re.py:249(compile)
       10    0.011    0.001    0.011    0.001 {built-in method PIL._imaging.fill}
      240    0.004    0.000    0.010    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/ticker.py:2015(_validate_steps)
     5800    0.010    0.000    0.010    0.000 {built-in method torch._C._get_tracing_state}
     2510    0.001    0.000    0.010    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/core/_methods.py:55(_any)
     5800    0.008    0.000    0.010    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/torch_geometric/data/storage.py:142(__getstate__)
     2130    0.010    0.000    0.010    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/lib/stride_tricks.py:416(_broadcast_shape)
     6180    0.008    0.000    0.010    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:341(intervaly)
     9360    0.006    0.000    0.010    0.000 <string>:1(<lambda>)
    17400    0.008    0.000    0.010    0.000 /home/codespace/.local/lib/python3.10/site-packages/torch/serialization.py:429(__exit__)
      750    0.005    0.000    0.010    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/backend_bases.py:939(set_dashes)
       40    0.000    0.000    0.010    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/cm.py:416(_scale_norm)
     3700    0.010    0.000    0.010    0.000 {built-in method numpy.arange}
      590    0.002    0.000    0.010    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:985(intervalx)
      120    0.001    0.000    0.010    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:1515(_set_title_offset_trans)
       40    0.000    0.000    0.010    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/cm.py:664(autoscale_None)
     3320    0.004    0.000    0.010    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/ticker.py:1947(le)
       40    0.000    0.000    0.010    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/colors.py:1398(autoscale_None)
      600    0.001    0.000    0.010    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/markers.py:785(_set_tickdown)
     1480    0.010    0.000    0.010    0.000 {built-in method builtins.round}
     1800    0.003    0.000    0.010    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1966(clear)
6853/6714    0.002    0.000    0.010    0.000 /home/codespace/.python/current/lib/python3.10/abc.py:121(__subclasscheck__)
     9850    0.007    0.000    0.010    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:450(get_transform)
       80    0.000    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/legend_handler.py:340(_create_patch)
       11    0.009    0.001    0.009    0.001 {built-in method builtins.print}
  900/720    0.001    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2391(_iter_break_from_left_to_right)
       50    0.002    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:2860(<listcomp>)
    17400    0.009    0.000    0.009    0.000 {built-in method torch._C._get_tensor_metadata}
      120    0.000    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1400(contains_branch_seperately)
    14590    0.009    0.000    0.009    0.000 /home/codespace/.python/current/lib/python3.10/_weakrefset.py:17(__init__)
       40    0.000    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_axes.py:5766(_pcolorargs)
     1970    0.003    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2308(get_matrix)
     3500    0.004    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/text.py:1317(set_usetex)
      120    0.000    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2170(contains_branch_seperately)
     3540    0.002    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:1231(set_markerfacecoloralt)
       60    0.000    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/lib/arraysetops.py:766(isin)
    23380    0.009    0.000    0.009    0.000 {built-in method builtins.delattr}
     6000    0.008    0.000    0.009    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Simulator/RDDLSimulator.py:259(check_state_invariants)
 1140/900    0.001    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2384(__eq__)
      950    0.001    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/markers.py:354(get_transform)
      520    0.005    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/cycler/__init__.py:416(by_key)
      170    0.000    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:1799(set_label_text)
     2120    0.004    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/cbook.py:1685(_safe_first_finite)
      840    0.003    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2282(__init__)
       60    0.005    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/lib/arraysetops.py:524(in1d)
      180    0.001    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:1871(apply_aspect)
       60    0.000    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/patches.py:3875(set_boxstyle)
       60    0.000    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:819(set_figure)
      930    0.009    0.000    0.009    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:1755(have_units)
       48    0.000    0.000    0.009    0.000 /home/codespace/.python/current/lib/python3.10/sre_parse.py:944(parse)
    52200    0.009    0.000    0.009    0.000 {method 'data_ptr' of 'torch._C.StorageBase' objects}
      180    0.000    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1573(get_matrix)
      240    0.001    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/cbook.py:539(_get_data_path)
       60    0.008    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/patches.py:2230(__new__)
    17400    0.008    0.000    0.008    0.000 {method 'has_names' of 'torch._C._TensorBase' objects}
     3540    0.002    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:505(set_pickradius)
      740    0.002    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2452(__init__)
   840/60    0.002    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/offsetbox.py:227(set_figure)
   146/48    0.001    0.000    0.008    0.000 /home/codespace/.python/current/lib/python3.10/sre_parse.py:436(_parse_sub)
    40754    0.008    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/lib/stride_tricks.py:345(<genexpr>)
     3540    0.004    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:1359(set_dash_joinstyle)
        1    0.000    0.000    0.008    0.008 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Parser/parser.py:1081(build)
        1    0.000    0.000    0.008    0.008 /home/codespace/.python/current/lib/python3.10/site-packages/ply/yacc.py:3216(yacc)
    17400    0.008    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/torch/storage.py:896(_pickle_storage_type)
 1110/950    0.001    0.000    0.008    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.008    0.008 /home/codespace/.python/current/lib/python3.10/site-packages/ply/lex.py:576(validate_all)
     2160    0.002    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/text.py:1041(set_fontfamily)
      560    0.003    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:1867(_set_formatter)
       80    0.005    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/numpy/ma/core.py:3526(mask)
   208/84    0.002    0.000    0.008    0.000 /home/codespace/.python/current/lib/python3.10/sre_parse.py:494(_parse)
        1    0.000    0.000    0.008    0.008 /home/codespace/.python/current/lib/python3.10/site-packages/ply/lex.py:728(validate_rules)
    38574    0.008    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:671(get_style)
      260    0.002    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:858(update_from_path)
      240    0.002    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:2638(_update_offset_text_position)
    41761    0.008    0.000    0.008    0.000 {method 'pop' of 'dict' objects}
      360    0.001    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2162(__eq__)
      300    0.002    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/colors.py:409(to_rgba_array)
      240    0.000    0.000    0.008    0.000 /home/codespace/.python/current/lib/python3.10/pathlib.py:957(__new__)
      480    0.001    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/markers.py:765(_set_tickleft)
    17400    0.008    0.000    0.008    0.000 {method 'stride' of 'torch._C._TensorBase' objects}
     3020    0.002    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:2214(<lambda>)
      210    0.001    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:3547(get_xlim)
       40    0.001    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/colors.py:1329(__call__)
4560/4320    0.002    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/spines.py:202(_ensure_position_is_set)
      240    0.000    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:1710(__eq__)
     6000    0.005    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/text.py:683(_get_wrapped_text)
     4170    0.006    0.000    0.008    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:33(_get_dash_pattern)
    39890    0.007    0.000    0.007    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:841(get_visible)
     3540    0.004    0.000    0.007    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/lines.py:1423(set_solid_capstyle)
    40904    0.007    0.000    0.007    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/font_manager.py:655(get_family)
    19080    0.007    0.000    0.007    0.000 {method 'count' of 'str' objects}
    17400    0.007    0.000    0.007    0.000 /home/codespace/.local/lib/python3.10/site-packages/torch/utils/hooks.py:81(warn_if_has_hooks)
       10    0.000    0.000    0.007    0.001 /workspaces/rddl_training_data_producer/agents.py:18(__init__)
     3340    0.003    0.000    0.007    0.000 {built-in method builtins.all}
     2330    0.005    0.000    0.007    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:42(get_hinting_flag)
     6000    0.007    0.000    0.007    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/gym/spaces/discrete.py:96(__repr__)
     7510    0.005    0.000    0.007    0.000 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/transforms.py:242(x0)
